Name,Qty,Description,Unit Price,Total Price,URL,Running Total,,,
"3.7V 103450 Polymer Lithium Battery , 2000 mAh Rechargeable",1,BATTERY LITH-ION 3.7V 2AH,14,$14.00,https://www.aliexpress.us/item/3256802548415679.html?gatewayAdapt=glo2usa4itemAdapt,$20.29,,,
1.8''tft Full Color Lcd Display (2pcs),1,TFT LCD display,6.44,$6.44,https://www.aliexpress.us/item/3256808787979678.html?spm=a2g0o.productlist.main.8.3de96ad9Vkq08A&aem_p4p_detail=202511101756173413292387694210001186719&algo_pvid=8ea23c16-b5cd-4224-bf89-0f22588c9dab&algo_exp_id=8ea23c16-b5cd-4224-bf89-0f22588c9dab-7&pdp_ext_f=%7B%22order%22%3A%2293%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.63%210.99%21%21%2125.68%216.98%21%402101dedf17628261771466106e807e%2112000051489768264%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A17c82639%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=IogOLCzfrTak&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008974294430%7C_p_origin_prod%3A&search_p4p_id=202511101756173413292387694210001186719_2,$8.53,,,
Conn_Coaxial SMA KHD (5pcs),1,Coaxial connector,2.09,$2.09,https://www.aliexpress.us/item/2255800008688086.html?spm=a2g0o.productlist.main.2.650e6f241hfe3B&algo_pvid=a27a1da0-1e72-43f2-bdd9-2193f2b7ee0b&algo_exp_id=a27a1da0-1e72-43f2-bdd9-2193f2b7ee0b-1&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.09%210.99%21%21%212.09%210.99%21%40210337c117628215233961599e80a9%2110000000733483787%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A17c82639%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=HRgm0xYNEq4L&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000195002838%7C_p_origin_prod%3A,4.18,,aliexpress:,38.92
MAX98357A,2,Audio amplifier,$1.93,$3.86,https://www.aliexpress.us/item/3256805196806369.html?src=google&pdp_npi=4%40dis%21USD%211.93%211.72%21%21%21%21%21%40%2112000032829876742%21ppc%21%21%21&gatewayAdapt=glo2usa,6.74,,digikey:,31.83
3w 8 ohm 2W speaker,2,Audio output device,2.03,$4.06,https://www.aliexpress.us/item/3256805513567413.html?spm=a2g0o.productlist.main.2.48b87118WnNtn8&algo_pvid=cfaf4f0d-6ae2-4e2c-9167-838115f1b312&algo_exp_id=cfaf4f0d-6ae2-4e2c-9167-838115f1b312-1&pdp_ext_f=%7B%22order%22%3A%22443%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.02%210.99%21%21%2114.32%217.02%21%402101ef5e17628209327424906e3ecb%2112000044410928207%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A17c82639%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=1UQMMRe9NU44&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005699882165%7C_p_origin_prod%3A,6.56,,Amazon:,12.12
INMP441,2,Omnidirectional microphone,2.43,$4.86,https://www.aliexpress.us/item/3256806131008765.html?spm=a2g0o.productlist.main.1.f68e3820pubLnc&algo_pvid=ead07b69-a23d-4e44-a26b-06d0663ad1f3&algo_exp_id=ead07b69-a23d-4e44-a26b-06d0663ad1f3-0&pdp_ext_f=%7B%22order%22%3A%22207%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.42%210.99%21%21%2117.17%217.04%21%402101eecd17628211563285515e3713%2112000036737351755%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A17c82639%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=gpENJgXtYVrp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006317323517%7C_p_origin_prod%3A,7.36,,Ebay:,33.8
ESP32-DEVKITC V4,2,Microcontroller development board,$5.32,$10.64,https://www.ebay.com/itm/376392617070?_trkparms=amclksrc%3DITM%26aid%3D1110006%26algo%3DHOMESPLICE.SIM%26ao%3D1%26asc%3D295489%2C295741%26meid%3Dda038105f19d42039a8843a7de189449%26pid%3D101224%26rk%3D2%26rkt%3D5%26sd%3D254803105402%26itm%3D376392617070%26pmt%3D0%26noa%3D1%26pg%3D2332490%26algv%3DDefaultOrganicWebV9BertRefreshRankerWithCassiniEmbRecall%26brand%3DUnbranded&_trksid=p2332490.c101224.m-1,16.61,,PCBWay:,$7.60
915 MHz Meshtastic LoRa Antenna with RP or SMA Male 915MHz for LoRaWan Aerial,2,Antenna 915hz,$5.00,$10.00,https://www.ebay.com/itm/154891841854,15.15,,,124.27
[2-Pack] 3.7V USB Charger Cable SM-2P Plug Cable with LED Indicator,1,Recharging Unit for Battery,3.98,$3.98,https://www.amazon.com/2-Pack-Charger-Indicator-Amphibious-Battery/dp/B0FF33J253/ref=sr_1_5?crid=3F64ZWXWYI4GX&dib=eyJ2IjoiMSJ9.dShI0FCoVCxkmj3VcNm0X3FeVJXyWgBw5SNL5-2zo0d7MHMEr3pxr67mRqV9QorPnh4mZVmE6PaYjT_cNWwKGBtMBPFHL9G6FWEzKNh7lC8rVYr1rqT-mEO0aWyLh6eytOy4_cegF8KKx7OOB3lJ-zRnNyzqDgUyEUZnxOvIPOe-FF0IfD4sqykooprAoQlWxnBgbXEuF2iA8g6ID8086wirsXZDU3KCbLuBofEYSdXxaZKsrkiOffhtKWccoTkpk79FoWOvh1IZZ6xjMKatYKhE434BEUCHQ5zzr7MZR74.RUJAmA2DAvtMvohmTjMrOt0MU9UaAOtuHxJc3qjY5y0&dib_tag=se&keywords=lipo+charger+3.7&qid=1763259034&refinements=p_36%3A-1000&rnid=386685011&sprefix=lipo+charger+3.%2Caps%2C256&sr=8-5,3.98,,,
200PCS Electrolytic Capacitor Kit,1,Need 10 µF capacitors (2) & 100 nF capacitors (4),6.99,$6.99,https://www.amazon.com/200PCS-Electrolytic-Capacitor-Kit-Electronics/dp/B0FH1R7N94/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.OMAhckewDdw7ify-8AoPOqz_gRKEOs7PrXubTDv_IrnqE-pCWep-2HHho33XzUXamlij6VsJuoVNh_0FHktFfNu5BPBjHngwGnkQ7zuHS2uhGOYp0jAqvqPM4WMEI5p5J8kIc-XjDnC4Z1ATiYH35C9yHbJ3CBqhI5scAxo_4OpD8-R6mDwDFVbQqv9H1C4NQNX7lpbC-xq2MzFCFxcV9Hzfsl-Z4JdB4BSZmrZdPdI.CYtiawMHvSGW2pRSlFQQK6yixQgZ9CWyUhQ2rlC-fYs&dib_tag=se&keywords=capacitors&qid=1762786945&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,7.72,,,
