Name,Qty,Description,Unit Price,Total Price,URL,Running Total
Antenna,2,Receives radio waves,,,,
LiPo 3.7V 2000mAh (Adafruit #2011),2,Rechargeable power source,,,,
Adafruit Micro- Lipo Charger,1,Recharging Unit for Battery,,,,
10 µF,2,Capacitor for filtering,,,,
100 nF,4,Capacitor for decoupling,,,,
Conn_Coaxial,2,Coaxial connector,,,,
8Ω 0.5W speaker,2,Audio output device,,,,
INMP441ACEZ-R7,2,MEMS microphone,,,,
10 k resistor,2,Resistor for pull-ups,,,,
R_Potentiometer,2,Variable resistor,,,,
SW_Push,6,Push button switch,,,,
SX1272,3,LoRa transceiver module,,,,
MAX98357A,2,Audio amplifier,,,,
MCP1826S,2,Voltage regulator,,,,
"Industrial Monitor, Color LCD TFT, 1.8 in, 128 x 160, Panel Mount | Adafruit Industries 358",2,TFT LCD display,,,,
ESP32-DEVKITC V4,2,Microcontroller development board,,,,
